,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season,foul_committed_penalty,foul_won_penalty,miscontrol_aerial_won,pass_deflected,50_50,dribble_nutmeg,foul_committed_offensive,injury_stoppage_in_chain,pass_miscommunication,block_offensive,block_save_block,shot_redirect,bad_behaviour_card,goalkeeper_shot_saved_to_post,shot_saved_to_post,shot_open_goal,goalkeeper_shot_saved_off_target,shot_saved_off_target,clearance_other,goalkeeper_punched_out,goalkeeper_success_in_play,dribble_no_touch,half_end_early_video_end,goalkeeper_lost_in_play,goalkeeper_success_out,half_start_late_video_start,shot_follows_dribble,goalkeeper_lost_out,player_off_permanent,goalkeeper_saved_to_post
21,,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,9ecf69fb-b659-4e9f-82df-7ae7dfb00850,2568,,"[55.6, 67.4]",68353,84,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,194,Barcelona,217,['bd9d42ba-c681-4696-a9e3-3c279ce49077'],48,,,,,,,,,,,,,,,,,,Barcelona,217,00:39:48.519,Dribble,True,2004/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,5c548434-5170-4076-baed-9f287052f899,2719,,"[87.1, 46.4]",68353,91,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,207,Barcelona,217,['aa345beb-c3fd-414f-8658-055012756622'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:46:00.179,Dribble,True,2004/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,Incomplete,,,,0.0,,,,,,,,,,,,42ea1212-968b-4cde-83ed-3ffc3440697d,2744,,"[87.7, 27.5]",68353,91,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,208,Barcelona,217,['5842ff5b-607e-402c-8710-2b94019e4c7d'],32,,,,,,,,,,,,,,,,,,Barcelona,217,00:46:32.843,Dribble,True,2004/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,Incomplete,,,,0.0,,,,,,,,,,,,c9072313-043b-4349-9f5a-d2b204cff93a,2766,,"[97.4, 51.0]",68353,92,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,210,Barcelona,217,['e3d4e1c5-729e-4136-b35b-43c32521810c'],9,,,,,,,,,,,,,,,,,,Barcelona,217,00:47:09.909,Dribble,True,2004/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,Incomplete,,,,0.0,,,,,,,,,,,,643401bb-0a2e-4244-9d6a-2f426e2973d4,2727,,"[81.1, 10.9]",68313,81,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Left Wing,192,Barcelona,217,['2a617c96-daf4-452b-99fc-7304d6b38bfb'],41,,,,,,,,,,,,,,,,,,Barcelona,217,00:36:41.404,Dribble,True,2004/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,76c7d5b4-c842-417a-ad71-f34747db20ea,2390,,"[43.0, 70.1]",68315,65,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,154,Barcelona,217,"['2aa19add-ff3e-4689-9de4-2c9d545a88e9', '9652fb64-1abc-4426-9e1e-b5f860090540']",33,,,,,,,,,,,,,,,,,,Barcelona,217,00:20:33.761,Dribble,True,2004/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,77028d0d-46f9-45e5-8e99-c6a7aa93775c,3458,,"[86.2, 29.8]",68352,92,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,207,Barcelona,217,['51f80bfa-f90c-4035-8bfd-d3aec3a7f38a'],5,,,,,,,,,,,,,,,,,,Barcelona,217,00:47:05.033,Dribble,True,2004/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,0979acce-24ea-40ac-a853-8bd04e562644,2720,,"[95.3, 77.4]",68317,80,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Right Midfield,168,Barcelona,217,"['1b9c0f62-5f11-4c7f-b32a-1c5633e4df79', 'e0a73821-d08c-4864-9858-910af7830965']",29,,,,,,,,,,,,,,,,,,Barcelona,217,00:35:29.252,Dribble,True,2005/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,df6fe9ec-528f-4687-9947-168650cf1c02,2924,,"[91.8, 46.6]",68317,87,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Midfield,179,Barcelona,217,['bf376be5-39e6-4c63-9260-3297dc83ee51'],14,,,,,,,,,,,,,,,,,,Barcelona,217,00:42:14.836,Dribble,True,2005/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,944b06a8-7467-46fb-8f35-3787a2b0d2fa,848,,"[91.9, 71.0]",68318,23,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,42,Barcelona,217,['3977bbfc-3b8a-422f-8d57-501a0b9e380a'],35,,,,,,,,,,,,,,,,,,Barcelona,217,00:23:35.714,Dribble,True,2005/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
