,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season,foul_committed_penalty,foul_won_penalty,miscontrol_aerial_won,pass_deflected,50_50,dribble_nutmeg,foul_committed_offensive,injury_stoppage_in_chain,pass_miscommunication,block_offensive,block_save_block,shot_redirect,bad_behaviour_card,goalkeeper_shot_saved_to_post,shot_saved_to_post,shot_open_goal,goalkeeper_shot_saved_off_target,shot_saved_off_target,clearance_other,goalkeeper_punched_out,goalkeeper_success_in_play,dribble_no_touch,half_end_early_video_end,goalkeeper_lost_in_play,goalkeeper_success_out,half_start_late_video_start,shot_follows_dribble,goalkeeper_lost_out,player_off_permanent,goalkeeper_saved_to_post
0,,,,,,,,,,,,,,,,0.2777,,,,,,,,,,,,d2253baa-28a5-49aa-ad6f-cdc4798e51cc,2570,,"[63.8, 65.9]",68353,84,,,,-1.8832879,,Left Foot,,,"[61.7, 59.4]",,Ground Pass,,6.8308125,,Incomplete,,Andrés Iniesta Luján,5216.0,,,,,,,2,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,194,Barcelona,217,"['53483e22-e10a-4a6d-927f-2861d3d56556', 'b619b9df-a18c-4e11-9d09-c366425dcbb4']",50,,,,,,,,,,,,,,,,,,Barcelona,217,00:39:50.054,Pass,,2004/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,1.555055,,,,,,,,,,,,fbb36e61-f4e1-414b-b1cd-947fb0a91317,2578,,"[70.3, 48.1]",68353,84,,,,-1.2245686,,Left Foot,,,"[76.0, 32.3]",,Ground Pass,,16.796726,,,,Andrés Iniesta Luján,5216.0,,,,,,,2,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,194,Barcelona,217,['87fffbf0-a86f-4dd0-a843-b4dc08c4083c'],52,,,,,,,,,,,,,,,,,,Barcelona,217,00:39:52.621,Pass,,2004/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,1.66208,,,,,,,,,,,,0dcfc73d-ed6f-42dc-8b07-b69ff99c7806,2526,,"[106.6, 26.8]",68313,73,,,,2.6025486,,Left Foot,,,"[95.9, 33.2]",,Ground Pass,,12.467959,,,,Anderson Luís de Souza,19757.0,,,,,,,2,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Left Wing,176,Barcelona,217,['ae8a4965-d933-4d2e-848c-8b91815edfa6'],59,,,,,,,,,,,,,,,,,,Barcelona,217,00:28:59.966,Pass,,2004/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,2.559714,,,,,,,,,,,,d18e8eb8-9e82-411f-9aea-f13f8589d406,2721,,"[64.3, 24.9]",68313,81,,,True,-0.30587888,,,,,"[83.3, 18.9]",,High Pass,,19.924858,,Incomplete,,,,,,,,,,2,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Left Wing,192,Barcelona,217,"['11cffbdd-0a95-4adc-8d8e-584a95e0a5fa', '743972c2-578f-42b1-894b-937f35e2ff35']",37,,,,,,,,,,,,,,,,,,Barcelona,217,00:36:37.131,Pass,True,2004/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,0.837074,,,,,,,,,,,,1955a71f-e944-46e4-aed0-964a24d55850,2815,,"[86.9, 16.2]",68313,84,,,,2.1759498,,Left Foot,,,"[77.7, 29.5]",,Ground Pass,,16.171888,,,,Anderson Luís de Souza,19757.0,,,,,,,2,From Free Kick,Lionel Andrés Messi Cuccittini,5503.0,Left Wing,197,Barcelona,217,['1b93d7e4-d236-48ab-bdeb-fb124881d2b0'],10,,,,,,,,,,,,,,,,,,Barcelona,217,00:39:10.481,Pass,,2004/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,1.759672,,,,,,,,,,,,232660f8-c016-4570-a32d-a9ac235d131b,2937,,"[72.6, 46.3]",68313,87,,,,-0.9445349,,Right Foot,,,"[82.8, 32.2]",,Ground Pass,,17.402586,,,,Anderson Luís de Souza,19757.0,,,,,,,2,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Left Wing,207,Barcelona,217,['130b40a6-4c79-4b9a-9694-5a21132ea944'],58,,,,,,,,,,,,,,,,,,Barcelona,217,00:42:58.426,Pass,,2004/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,1.211242,,,,,,,,,,,,498634ae-561b-4bea-9ceb-2b084f5f2924,2971,,"[76.3, 62.9]",68313,89,,,,-0.5019769,,Left Foot,,,"[89.6, 55.6]",,Ground Pass,,15.171684,,,,Andrés Iniesta Luján,5216.0,,,,,,,2,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Left Wing,211,Barcelona,217,['6e5c510a-358d-4aa0-922a-3f01cf5928ef'],48,,,,,,,,,,,,,,,,,,Barcelona,217,00:44:48.332,Pass,,2004/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,0.826585,,,,,,,,,,,,7a9c634c-8f2d-4800-b1a0-7d21076abed3,2855,,"[98.4, 74.5]",68314,83,,,,2.9264855,,Left Foot,,,"[86.5, 77.1]",,Ground Pass,,12.180722,,,,Ronaldo de Assis Moreira,25879.0,,,,,,,2,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,185,Barcelona,217,['4f92d7a5-7c2c-4618-a749-7c564cc8f3f3'],29,,,,,,,,,,,,,,,,,,Barcelona,217,00:38:29.583,Pass,,2004/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,1.433755,,,,,,,,,,,,8beb9a27-14ce-4ee9-8b86-fe453d017dcb,2921,,"[98.8, 43.1]",68314,84,,,,-1.4567106,a703351e-d49d-4420-8a6d-d128e0315dd5,Left Foot,,,"[101.0, 23.9]",,Ground Pass,,19.32563,,,,Samuel Eto''o Fils,19298.0,True,,,,,,2,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,188,Barcelona,217,['4d519eff-adca-4f0e-8feb-5b535c922c76'],42,,,,,,,,,,,,,,,,,,Barcelona,217,00:39:42.319,Pass,,2004/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,1.054591,,,,,,,,,,,,55750268-cc52-436d-87a1-3c984cbd688a,3049,,"[92.2, 58.8]",68314,88,,,,2.5490344,,Left Foot,,,"[82.1, 65.6]",,Ground Pass,,12.175796,,,,Ronaldo de Assis Moreira,25879.0,,,,,,,2,From Free Kick,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,195,Barcelona,217,['c78f6910-d1d6-4818-b98b-268896506083'],42,,,,,,,,,,,,,,,,,,Barcelona,217,00:43:42.877,Pass,,2004/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
