,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season,foul_committed_penalty,foul_won_penalty,miscontrol_aerial_won,pass_deflected,50_50,dribble_nutmeg,foul_committed_offensive,injury_stoppage_in_chain,pass_miscommunication,block_offensive,block_save_block,shot_redirect,bad_behaviour_card,goalkeeper_shot_saved_to_post,shot_saved_to_post,shot_open_goal,goalkeeper_shot_saved_off_target,shot_saved_off_target,clearance_other,goalkeeper_punched_out,goalkeeper_success_in_play,dribble_no_touch,half_end_early_video_end,goalkeeper_lost_in_play,goalkeeper_success_out,half_start_late_video_start,shot_follows_dribble,goalkeeper_lost_out,player_off_permanent,goalkeeper_saved_to_post
55,,,,,,,,,,,,,,,,1.146172,,,,,,,,,,,,a6444b87-87c8-4786-ac30-cbfbb725876c,2565,,"[107.1, 38.7]",68313,77,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,Lionel Andrés Messi Cuccittini,5503.0,Left Wing,181,Barcelona,217,['0298bea1-6aaa-430a-97b0-91ff9b92904e'],8,,Head,,"[118.9, 37.7, 0.9]",,"[{'location': [118.8, 37.7], 'player': {'id': 25858, 'name': 'Ricardo Sanzol Goñi'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [93.3, 46.9], 'player': {'id': 25853, 'name': 'Ludovic Delporte'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [108.5, 39.1], 'player': {'id': 25861, 'name': 'Iñaki Muñoz Oroz'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [103.8, 48.8], 'player': {'id': 6391, 'name': 'Raúl García Escudero'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [106.6, 39.8], 'player': {'id': 25871, 'name': 'José Izquierdo Martínez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [102.9, 38.4], 'player': {'id': 25856, 'name': 'John Aloisi'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [106.8, 34.9], 'player': {'id': 25874, 'name': 'Francisco Puñal Martínez'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [102.7, 31.2], 'player': {'id': 25869, 'name': 'David López Moreno'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [108.9, 37.2], 'player': {'id': 25867, 'name': 'César Cruchaga Lasa'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [113.0, 44.5], 'player': {'id': 25860, 'name': 'Enrique Corrales Martín'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [93.0, 45.3], 'player': {'id': 25865, 'name': 'José Romero Urtasun'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [113.3, 43.8], 'player': {'id': 19298, 'name': ""Samuel Eto''o Fils""}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [100.8, 30.1], 'player': {'id': 19757, 'name': 'Anderson Luís de Souza'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [103.9, 33.7], 'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [111.4, 37.0], 'player': {'id': 5558, 'name': 'Rafael Márquez Álvarez'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}]",2716da8c-7a9f-46bd-9f66-1b17b80f435b,,Saved,0.05436392,Normal,Open Play,,,,,,Barcelona,217,00:32:08.520,Shot,,2004/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,0.416,,,,,,,,,,,,69f7edf8-090d-4fbd-ac5b-8afb9daa2756,2973,,"[112.8, 27.2]",68314,86,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,192,Barcelona,217,['3f5f5255-5b4d-4ff9-b8ae-d6369ecf58fb'],49,,Left Foot,,"[118.5, 36.0, 0.3]",,"[{'location': [107.0, 43.1], 'player': {'id': 25881, 'name': 'Juan Antonio Rodríguez Villamuela'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [108.7, 28.5], 'player': {'id': 25857, 'name': 'Francisco Esteban Granados'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [112.0, 39.8], 'player': {'id': 25868, 'name': 'Fernando Sanz Durán'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [109.2, 36.6], 'player': {'id': 6614, 'name': 'Alexis Ruano Delgado'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [118.9, 37.3], 'player': {'id': 25870, 'name': 'Juan Jesús Calatayud Sánchez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [111.9, 41.7], 'player': {'id': 19298, 'name': ""Samuel Eto''o Fils""}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [107.0, 19.4], 'player': {'id': 25854, 'name': 'Sylvio Mendes Campos Junior'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}]",8015976f-0243-42af-951f-18f0defdab25,True,Saved,0.087893374,Normal,Open Play,,,,,,Barcelona,217,00:41:49.793,Shot,,2004/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,0.7309,,,,,,,,,,,,8e6ec37a-afb8-45e5-a751-c2fd8144e613,3060,,"[110.0, 41.0]",68314,88,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,195,Barcelona,217,['df54967a-c8b4-42ec-b764-4560685e23be'],50,,Left Foot,,"[119.4, 39.9, 2.1]",True,"[{'location': [101.7, 19.5], 'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [107.6, 34.1], 'player': {'id': 19298, 'name': ""Samuel Eto''o Fils""}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [111.1, 57.9], 'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [118.9, 42.0], 'player': {'id': 25870, 'name': 'Juan Jesús Calatayud Sánchez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [111.5, 54.6], 'player': {'id': 25868, 'name': 'Fernando Sanz Durán'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [109.9, 56.2], 'player': {'id': 25866, 'name': 'Raúl Iznata Zabala'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [99.3, 29.9], 'player': {'id': 25855, 'name': 'Paulo César Wanchope Watson'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [101.9, 44.9], 'player': {'id': 25875, 'name': 'Miguel Ángel Lozano Ayala'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [111.5, 37.4], 'player': {'id': 6614, 'name': 'Alexis Ruano Delgado'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [110.7, 43.0], 'player': {'id': 25862, 'name': 'Carlos Manuel de Oliveira Magalhães'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}]",187ef1a5-e0a6-4682-a3d6-d629ca925000,,Saved,0.24486223,Half Volley,Open Play,,,,,,Barcelona,217,00:43:50.512,Shot,,2004/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,,,,,,,,,,,,,,,,1.1145,,,,,,,,,,,,d6101d1f-dfd5-4fe1-b4a7-f33cb80d339f,2498,,"[95.9, 59.6]",68315,67,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,161,Barcelona,217,['e15bba4f-4f2d-4edb-b007-4fedab207e70'],44,,Left Foot,,"[117.2, 41.0, 0.2]",,"[{'location': [103.9, 39.0], 'player': {'id': 25893, 'name': 'Alberto Rivera Pizarro'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [108.1, 30.9], 'player': {'id': 25889, 'name': 'Pablo Pinillos Caro'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [109.4, 37.6], 'player': {'id': 25888, 'name': 'Jose Antonio Culebras Arenas'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [107.5, 46.3], 'player': {'id': 25887, 'name': 'José Alejandro Suárez Martín'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [100.2, 49.0], 'player': {'id': 25890, 'name': 'Jofre González Mateu'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [118.0, 42.6], 'player': {'id': 25891, 'name': 'Juan Luis Mora Palacios'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [107.2, 37.5], 'player': {'id': 19298, 'name': ""Samuel Eto''o Fils""}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [101.1, 26.6], 'player': {'id': 25879, 'name': 'Ronaldo de Assis Moreira'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [104.5, 60.9], 'player': {'id': 25863, 'name': 'Juliano Haus Belletti'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [94.9, 45.2], 'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [108.2, 66.9], 'player': {'id': 25892, 'name': 'Ignacio Pérez Santamaría'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [100.9, 58.8], 'player': {'id': 25894, 'name': 'Iñaki Descarga Retegi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}]",1d95f9b8-2f2f-4b25-8ddd-abd8e8b9d147,,Saved,0.010079262,Normal,Open Play,,,,,,Barcelona,217,00:22:44.202,Shot,,2004/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,,,,,,,,,,,,,,,,1.2749,,,,,,,,,,,,d3a1fae2-f6e3-4765-bbb2-b61df1f8fabe,2920,,"[98.4, 53.3]",68315,79,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,188,Barcelona,217,['24a3686a-29fb-4233-b90f-2e40f342170a'],53,,Left Foot,,"[120.0, 35.2, 6.0]",,"[{'location': [117.1, 42.0], 'player': {'id': 25891, 'name': 'Juan Luis Mora Palacios'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [96.4, 39.1], 'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [104.7, 46.8], 'player': {'id': 19298, 'name': ""Samuel Eto''o Fils""}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [101.1, 27.5], 'player': {'id': 17797, 'name': 'Giovanni van Bronckhorst'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [99.4, 31.4], 'player': {'id': 25895, 'name': 'Felix Dja Ettien Yohou'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [105.7, 46.9], 'player': {'id': 25888, 'name': 'Jose Antonio Culebras Arenas'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [102.8, 40.0], 'player': {'id': 25889, 'name': 'Pablo Pinillos Caro'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [98.6, 61.2], 'player': {'id': 25887, 'name': 'José Alejandro Suárez Martín'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [91.5, 40.4], 'player': {'id': 20321, 'name': 'Fabio Celestini'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [100.9, 54.1], 'player': {'id': 25890, 'name': 'Jofre González Mateu'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [99.8, 51.1], 'player': {'id': 25886, 'name': 'Diego Camacho Quesada'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [97.3, 56.6], 'player': {'id': 25893, 'name': 'Alberto Rivera Pizarro'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [102.0, 71.3], 'player': {'id': 25894, 'name': 'Iñaki Descarga Retegi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}]",8d62e04e-6bf5-4851-b3fa-b23ab7b72727,,Off T,0.03265231,Normal,Open Play,,,,,,Barcelona,217,00:34:53.548,Shot,,2004/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,,,,,,,,,,,,,,,,1.842082,,,,,,,,,,,,33475e03-b72c-436b-b32e-20cfaacffa74,3428,,"[106.0, 29.3]",68316,90,,,,,,,,,,,,,,,,,,,,,,,,,2,From Counter,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,195,Barcelona,217,['2f8bfe17-21e4-4dd2-bc54-a89ed1792cf8'],14,,Left Foot,,"[120.0, 41.2, 0.6]",True,"[{'location': [108.1, 44.9], 'player': {'id': 25878, 'name': 'Ludovic Giuly'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [107.7, 31.9], 'player': {'id': 25902, 'name': 'Carles Domingo Pladevall'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [103.7, 31.7], 'player': {'id': 24631, 'name': 'Agustín García Iñiguez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [99.8, 31.2], 'player': {'id': 25899, 'name': 'Gaspar Gálvez Burgos'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [100.1, 29.3], 'player': {'id': 25903, 'name': 'Laurent Viaud'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'teammate': False}, {'location': [113.0, 34.1], 'player': {'id': 25901, 'name': 'Raúl Valbuena Cano'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",32dcbef6-73c3-41d3-b65a-41bf6f89e926,,Goal,0.14505877,Lob,Open Play,,,,,,Barcelona,217,00:45:14.961,Shot,,2004/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,,,,,,,,,,,,,,,,0.850072,,,,,,,,,,,,5bc4a898-c947-40e6-b838-44c51b8ef056,2926,,"[94.4, 52.2]",68317,87,,True,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Midfield,179,Barcelona,217,['b86e8c1f-ea9f-4168-9d89-a490b521eea8'],15,,Left Foot,,"[116.7, 0.2]",,"[{'location': [117.5, 40.3], 'player': {'id': 25917, 'name': 'César Sánchez Domínguez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [101.0, 50.3], 'player': {'id': 25919, 'name': 'Gabriel Alejandro Milito'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [100.1, 47.6], 'player': {'id': 25913, 'name': 'Álvaro Luiz Maior de Aquino'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [100.1, 34.3], 'player': {'id': 25922, 'name': 'Leonardo Daniel Ponzio'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [91.4, 60.8], 'player': {'id': 25915, 'name': 'Sávio Bortolini Pimentel'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [98.6, 21.0], 'player': {'id': 17797, 'name': 'Giovanni van Bronckhorst'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [99.0, 45.5], 'player': {'id': 19298, 'name': ""Samuel Eto''o Fils""}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [103.8, 45.5], 'player': {'id': 25863, 'name': 'Juliano Haus Belletti'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [95.4, 60.2], 'player': {'id': 19296, 'name': 'Mark van Bommel'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [98.4, 33.4], 'player': {'id': 15743, 'name': 'Henrik Larsson'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [90.7, 53.8], 'player': {'id': 25911, 'name': 'Óscar Javier González Marcos'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [95.6, 52.2], 'player': {'id': 15603, 'name': 'Agustín Aranzábal Alkorta'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [84.8, 42.9], 'player': {'id': 19294, 'name': 'Diego Alberto Milito'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}]",,,Wayward,0.02042063,Normal,Open Play,,,,,,Barcelona,217,00:42:15.909,Shot,,2005/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,,,,,,,,,,,,,,,,1.027718,,,,,,,,,,,,88ddc0e4-7c19-4369-afd4-66f1db3dff1c,271,,"[97.9, 49.8]",68318,6,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,13,Barcelona,217,['24608609-815d-46d0-9087-998bbb0a9af1'],1,,Left Foot,,"[120.0, 32.3, 2.5]",,"[{'location': [109.5, 61.6], 'player': {'id': 25863, 'name': 'Juliano Haus Belletti'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [97.1, 46.4], 'player': {'id': 19757, 'name': 'Anderson Luís de Souza'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [105.0, 46.3], 'player': {'id': 19298, 'name': ""Samuel Eto''o Fils""}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [99.7, 59.0], 'player': {'id': 25853, 'name': 'Ludovic Delporte'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [100.2, 45.8], 'player': {'id': 25861, 'name': 'Iñaki Muñoz Oroz'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [105.8, 60.7], 'player': {'id': 25914, 'name': 'Rafael Clavero Prados'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [103.8, 48.1], 'player': {'id': 25874, 'name': 'Francisco Puñal Martínez'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [102.4, 46.8], 'player': {'id': 25867, 'name': 'César Cruchaga Lasa'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [103.8, 33.6], 'player': {'id': 25871, 'name': 'José Izquierdo Martínez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [100.8, 49.3], 'player': {'id': 25865, 'name': 'José Romero Urtasun'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [97.8, 24.6], 'player': {'id': 25872, 'name': 'Valmiro Lópes Rocha'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [106.5, 32.9], 'player': {'id': 25879, 'name': 'Ronaldo de Assis Moreira'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [118.0, 41.9], 'player': {'id': 25912, 'name': 'Ricardo López Felipe'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",3d490076-b3d0-425e-a008-1643cef803e8,,Off T,0.0341115,Normal,Open Play,,,,,,Barcelona,217,00:06:01.576,Shot,,2005/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,,,,,,,,,,,,,,,,0.245565,,,,,,,,,,,,f79593a8-254e-41db-9c6d-b80b4701547d,925,,"[113.0, 39.2]",68318,25,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,46,Barcelona,217,"['150babc3-7854-40b5-a50e-96bdc450375d', 'db9ccfcd-cc84-46ed-972d-e1621bbc7090']",19,True,Head,,"[120.0, 37.0, 2.8]",,"[{'location': [107.0, 38.6], 'player': {'id': 25879, 'name': 'Ronaldo de Assis Moreira'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [101.7, 33.2], 'player': {'id': 25872, 'name': 'Valmiro Lópes Rocha'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [112.4, 45.1], 'player': {'id': 25873, 'name': 'Oleguer Presas Renom'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [114.5, 59.1], 'player': {'id': 19298, 'name': ""Samuel Eto''o Fils""}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [112.7, 51.7], 'player': {'id': 25914, 'name': 'Rafael Clavero Prados'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [109.6, 54.6], 'player': {'id': 25874, 'name': 'Francisco Puñal Martínez'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [112.2, 65.4], 'player': {'id': 25853, 'name': 'Ludovic Delporte'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [109.1, 41.6], 'player': {'id': 25861, 'name': 'Iñaki Muñoz Oroz'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [110.1, 35.8], 'player': {'id': 25867, 'name': 'César Cruchaga Lasa'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [113.0, 38.6], 'player': {'id': 25865, 'name': 'José Romero Urtasun'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [114.8, 44.2], 'player': {'id': 19331, 'name': 'Savo Milošević'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [109.1, 36.2], 'player': {'id': 5558, 'name': 'Rafael Márquez Álvarez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [118.8, 39.8], 'player': {'id': 25912, 'name': 'Ricardo López Felipe'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [113.4, 35.3], 'player': {'id': 25871, 'name': 'José Izquierdo Martínez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}]",509caaf3-728d-4d30-81d4-7ef0c4d3015a,,Post,0.21042491,Normal,Open Play,,,,,,Barcelona,217,00:25:19.136,Shot,True,2005/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,,,,,,,,,,,,,,,,0.308452,,,,,,,,,,,,51cc1e9e-b2af-42f6-9ded-004decd027ef,1220,,"[114.5, 23.7]",68318,34,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,63,Barcelona,217,['3e6fc0ef-8ac7-4bfd-9187-7c7e234fd73c'],53,,Left Foot,,"[118.8, 34.8, 0.4]",,"[{'location': [114.2, 28.0], 'player': {'id': 25867, 'name': 'César Cruchaga Lasa'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [119.1, 35.2], 'player': {'id': 25912, 'name': 'Ricardo López Felipe'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [108.0, 19.1], 'player': {'id': 25874, 'name': 'Francisco Puñal Martínez'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [112.6, 42.6], 'player': {'id': 25879, 'name': 'Ronaldo de Assis Moreira'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [110.7, 35.1], 'player': {'id': 25865, 'name': 'José Romero Urtasun'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [110.7, 44.3], 'player': {'id': 25914, 'name': 'Rafael Clavero Prados'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [108.3, 39.6], 'player': {'id': 19298, 'name': ""Samuel Eto''o Fils""}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [108.0, 32.3], 'player': {'id': 25871, 'name': 'José Izquierdo Martínez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [114.1, 24.9], 'player': {'id': 19331, 'name': 'Savo Milošević'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [112.6, 36.9], 'player': {'id': 5558, 'name': 'Rafael Márquez Álvarez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}]",,True,Saved,0.009673016,Normal,Open Play,,,,,,Barcelona,217,00:34:53.522,Shot,,2005/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
