,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season,foul_committed_penalty,foul_won_penalty,miscontrol_aerial_won,pass_deflected,50_50,dribble_nutmeg,foul_committed_offensive,injury_stoppage_in_chain,pass_miscommunication,block_offensive,block_save_block,shot_redirect,bad_behaviour_card,goalkeeper_shot_saved_to_post,shot_saved_to_post,shot_open_goal,goalkeeper_shot_saved_off_target,shot_saved_off_target,clearance_other,goalkeeper_punched_out,goalkeeper_success_in_play,dribble_no_touch,half_end_early_video_end,goalkeeper_lost_in_play,goalkeeper_success_out,half_start_late_video_start,shot_follows_dribble,goalkeeper_lost_out,player_off_permanent,goalkeeper_saved_to_post
0,,,,,,,,,,,,,,,,0.2777,,,,,,,,,,,,d2253baa-28a5-49aa-ad6f-cdc4798e51cc,2570,,"[63.8, 65.9]",68353,84,,,,-1.8832879,,Left Foot,,,"[61.7, 59.4]",,Ground Pass,,6.8308125,,Incomplete,,Andrés Iniesta Luján,5216.0,,,,,,,2,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,194,Barcelona,217,"['53483e22-e10a-4a6d-927f-2861d3d56556', 'b619b9df-a18c-4e11-9d09-c366425dcbb4']",50,,,,,,,,,,,,,,,,,,Barcelona,217,00:39:50.054,Pass,,2004/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,1.555055,,,,,,,,,,,,fbb36e61-f4e1-414b-b1cd-947fb0a91317,2578,,"[70.3, 48.1]",68353,84,,,,-1.2245686,,Left Foot,,,"[76.0, 32.3]",,Ground Pass,,16.796726,,,,Andrés Iniesta Luján,5216.0,,,,,,,2,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,194,Barcelona,217,['87fffbf0-a86f-4dd0-a843-b4dc08c4083c'],52,,,,,,,,,,,,,,,,,,Barcelona,217,00:39:52.621,Pass,,2004/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,e999b424-e1fd-4724-8354-b5bbcece4252,2513,,"[99.1, 56.9]",68353,83,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,193,Barcelona,217,['e18dc916-9285-474b-9321-df61ee3b2f6e'],27,,,,,,,,,,,,,,,,,,Barcelona,217,00:38:27.565,Ball Receipt*,,2004/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,176f2648-2516-4637-b355-9305641d3ad1,2557,,"[65.7, 64.2]",68353,84,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,194,Barcelona,217,['4e10b7d5-4a81-48d0-87b1-0478d6e63f12'],40,,,,,,,,,,,,,,,,,,Barcelona,217,00:39:40.839,Ball Receipt*,,2004/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,35075b98-540a-45af-9519-c4ea3c3cf519,2565,,"[55.4, 73.7]",68353,84,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,194,Barcelona,217,['1eef562e-b13b-45a5-a631-e1555220b60d'],46,,,,,,,,,,,,,,,,,,Barcelona,217,00:39:46.510,Ball Receipt*,,2004/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,f2a82062-adab-40fe-a41c-427ab306ff79,2716,,"[86.5, 45.3]",68353,90,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,207,Barcelona,217,['eefd98d2-4636-4bbb-afb9-1c9ac951faa7'],59,,,,,,,,,,,,,,,,,,Barcelona,217,00:45:59.952,Ball Receipt*,,2004/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,337eb5ef-2bfc-4704-8d05-c8d485a90682,2742,,"[86.1, 27.3]",68353,91,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,208,Barcelona,217,['e1d09acd-cb04-4503-8a25-3eccd40031ea'],32,,,,,,,,,,,,,,,,,,Barcelona,217,00:46:32.175,Ball Receipt*,,2004/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,48f74bcb-9c04-42af-bf45-446f38aab046,2753,,"[106.2, 35.5]",68353,91,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,208,Barcelona,217,['19c708bf-88c4-4fb6-8959-10602f54ed0e'],45,,,,,,,,,,,,,,,,,,Barcelona,217,00:46:45.219,Ball Receipt*,,2004/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,f34ebd3f-5e25-4fba-a6cf-54bdfbb56fc6,2764,,"[95.3, 72.0]",68353,92,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,210,Barcelona,217,['aefd80c2-15d3-4d50-88d7-12172ab71cf4'],5,,,,,,,,,,,,,,,,,,Barcelona,217,00:47:05.124,Ball Receipt*,,2004/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,"[55.6, 67.4]",,,,,,,,,,,2.008982,,,,,,,,,,,,091e7fe1-dca1-41a4-937c-e1d0ea2677bb,2566,,"[55.4, 73.7]",68353,84,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,194,Barcelona,217,"['35075b98-540a-45af-9519-c4ea3c3cf519', '9ecf69fb-b659-4e9f-82df-7ae7dfb00850', 'bd9d42ba-c681-4696-a9e3-3c279ce49077']",46,,,,,,,,,,,,,,,,,,Barcelona,217,00:39:46.510,Carry,True,2004/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
